,year_id,state,industry_id,energy_consumption_pj
0,0,VIC,0,14.2
1,0,NSW,0,28.4
2,0,QLD,0,22.5
3,0,WA,0,15.6
4,0,SA,0,8.2
5,0,TAS,0,3.7
6,0,NT,0,1.3
7,0,VIC,1,28.0
8,0,NSW,1,35.5
9,0,QLD,1,80.3
10,0,WA,1,169.2
11,0,SA,1,28.3
12,0,TAS,1,3.1
13,0,NT,1,25.1
14,0,VIC,2,206.9
15,0,NSW,2,308.1
16,0,QLD,2,279.3
17,0,WA,2,243.6
18,0,SA,2,66.9
19,0,TAS,2,45.2
20,0,NT,2,21.5
21,0,VIC,3,560.4
22,0,NSW,3,504.0
23,0,QLD,3,497.2
24,0,WA,3,232.1
25,0,SA,3,91.7
26,0,TAS,3,7.3
27,0,NT,3,21.3
28,0,VIC,4,10.0
29,0,NSW,4,7.8
30,0,QLD,4,8.1
31,0,WA,4,3.7
32,0,SA,4,2.2
33,0,TAS,4,0.5
34,0,NT,4,0.3
35,0,VIC,5,339.6
36,0,NSW,5,479.2
37,0,QLD,5,321.5
38,0,WA,5,179.3
39,0,SA,5,96.0
40,0,TAS,5,29.7
41,0,NT,5,14.8
42,0,VIC,6,2.5
43,0,NSW,6,5.5
44,0,QLD,6,1.5
45,0,WA,6,2.2
46,0,SA,6,1.8
47,0,TAS,6,0.1
48,0,NT,6,0.0
49,0,VIC,7,82.4
50,0,NSW,7,76.7
51,0,QLD,7,55.7
52,0,WA,7,28.3
53,0,SA,7,20.4
54,0,TAS,7,8.2
55,0,NT,7,7.0
56,0,VIC,8,159.1
57,0,NSW,8,130.8
58,0,QLD,8,57.1
59,0,WA,8,36.6
60,0,SA,8,35.9
61,0,TAS,8,14.7
62,0,NT,8,3.2
63,0,VIC,9,25.3
64,0,NSW,9,17.7
65,0,QLD,9,22.6
66,0,WA,9,6.9
67,0,SA,9,5.8
68,0,TAS,9,1.2
69,0,NT,9,0.7
70,1,VIC,0,15.6
71,1,NSW,0,28.6
72,1,QLD,0,22.6
73,1,WA,0,16.8
74,1,SA,0,7.7
75,1,TAS,0,3.7
76,1,NT,0,1.3
77,1,VIC,1,24.5
78,1,NSW,1,41.7
79,1,QLD,1,86.5
80,1,WA,1,169.0
81,1,SA,1,27.5
82,1,TAS,1,3.0
83,1,NT,1,20.0
84,1,VIC,2,213.8
85,1,NSW,2,362.4
86,1,QLD,2,302.4
87,1,WA,2,244.6
88,1,SA,2,69.7
89,1,TAS,2,44.1
90,1,NT,2,23.0
91,1,VIC,3,548.2
92,1,NSW,3,468.7
93,1,QLD,3,410.5
94,1,WA,3,219.4
95,1,SA,3,76.1
96,1,TAS,3,8.5
97,1,NT,3,23.8
98,1,VIC,4,9.7
99,1,NSW,4,9.0
100,1,QLD,4,7.4
101,1,WA,4,3.4
102,1,SA,4,2.3
103,1,TAS,4,0.5
104,1,NT,4,0.3
105,1,VIC,5,345.5
106,1,NSW,5,498.5
107,1,QLD,5,326.0
108,1,WA,5,180.0
109,1,SA,5,96.7
110,1,TAS,5,29.9
111,1,NT,5,14.3
112,1,VIC,6,3.1
113,1,NSW,6,5.0
114,1,QLD,6,1.1
115,1,WA,6,2.3
116,1,SA,6,1.3
117,1,TAS,6,0.1
118,1,NT,6,0.2
119,1,VIC,7,85.8
120,1,NSW,7,79.2
121,1,QLD,7,55.5
122,1,WA,7,27.4
123,1,SA,7,20.7
124,1,TAS,7,8.2
125,1,NT,7,7.6
126,1,VIC,8,160.8
127,1,NSW,8,134.0
128,1,QLD,8,58.4
129,1,WA,8,36.7
130,1,SA,8,36.1
131,1,TAS,8,14.9
132,1,NT,8,3.3
133,1,VIC,9,26.6
134,1,NSW,9,18.1
135,1,QLD,9,24.0
136,1,WA,9,6.4
137,1,SA,9,5.7
138,1,TAS,9,0.9
139,1,NT,9,0.4
140,2,VIC,0,15.6
141,2,NSW,0,28.9
142,2,QLD,0,22.9
143,2,WA,0,17.6
144,2,SA,0,7.0
145,2,TAS,0,3.0
146,2,NT,0,1.3
147,2,VIC,1,24.9
148,2,NSW,1,46.3
149,2,QLD,1,91.0
150,2,WA,1,189.3
151,2,SA,1,29.4
152,2,TAS,1,3.2
153,2,NT,1,23.4
154,2,VIC,2,237.1
155,2,NSW,2,400.9
156,2,QLD,2,301.7
157,2,WA,2,259.8
158,2,SA,2,63.0
159,2,TAS,2,44.1
160,2,NT,2,24.0
161,2,VIC,3,534.2
162,2,NSW,3,438.2
163,2,QLD,3,360.2
164,2,WA,3,236.5
165,2,SA,3,80.3
166,2,TAS,3,10.8
167,2,NT,3,22.4
168,2,VIC,4,9.8
169,2,NSW,4,8.7
170,2,QLD,4,7.2
171,2,WA,4,3.8
172,2,SA,4,2.3
173,2,TAS,4,0.5
174,2,NT,4,0.4
175,2,VIC,5,352.1
176,2,NSW,5,504.9
177,2,QLD,5,329.6
178,2,WA,5,193.3
179,2,SA,5,97.8
180,2,TAS,5,27.9
181,2,NT,5,18.8
182,2,VIC,6,2.3
183,2,NSW,6,4.6
184,2,QLD,6,1.1
185,2,WA,6,3.5
186,2,SA,6,1.3
187,2,TAS,6,0.2
188,2,NT,6,0.1
189,2,VIC,7,89.8
190,2,NSW,7,82.0
191,2,QLD,7,56.4
192,2,WA,7,29.5
193,2,SA,7,18.7
194,2,TAS,7,8.6
195,2,NT,7,6.2
196,2,VIC,8,162.9
197,2,NSW,8,137.0
198,2,QLD,8,60.1
199,2,WA,8,40.4
200,2,SA,8,36.5
201,2,TAS,8,14.5
202,2,NT,8,2.7
203,2,VIC,9,27.2
204,2,NSW,9,16.6
205,2,QLD,9,19.4
206,2,WA,9,6.6
207,2,SA,9,6.5
208,2,TAS,9,0.9
209,2,NT,9,0.6
210,3,VIC,0,15.7
211,3,NSW,0,29.4
212,3,QLD,0,23.3
213,3,WA,0,18.4
214,3,SA,0,7.2
215,3,TAS,0,3.0
216,3,NT,0,1.3
217,3,VIC,1,27.0
218,3,NSW,1,52.8
219,3,QLD,1,104.4
220,3,WA,1,207.3
221,3,SA,1,31.5
222,3,TAS,1,3.6
223,3,NT,1,21.5
224,3,VIC,2,229.6
225,3,NSW,2,355.7
226,3,QLD,2,303.5
227,3,WA,2,225.9
228,3,SA,2,35.2
229,3,TAS,2,40.8
230,3,NT,2,24.2
231,3,VIC,3,557.0
232,3,NSW,3,434.9
233,3,QLD,3,397.2
234,3,WA,3,233.0
235,3,SA,3,71.7
236,3,TAS,3,9.7
237,3,NT,3,22.9
238,3,VIC,4,10.1
239,3,NSW,4,8.0
240,3,QLD,4,6.7
241,3,WA,4,3.8
242,3,SA,4,2.2
243,3,TAS,4,0.4
244,3,NT,4,0.4
245,3,VIC,5,345.7
246,3,NSW,5,506.6
247,3,QLD,5,343.7
248,3,WA,5,210.5
249,3,SA,5,97.0
250,3,TAS,5,25.7
251,3,NT,5,18.4
252,3,VIC,6,3.4
253,3,NSW,6,4.5
254,3,QLD,6,1.2
255,3,WA,6,4.7
256,3,SA,6,1.5
257,3,TAS,6,0.2
258,3,NT,6,0.1
259,3,VIC,7,88.3
260,3,NSW,7,80.3
261,3,QLD,7,54.7
262,3,WA,7,30.4
263,3,SA,7,18.1
264,3,TAS,7,8.2
265,3,NT,7,6.6
266,3,VIC,8,161.9
267,3,NSW,8,135.5
268,3,QLD,8,59.9
269,3,WA,8,42.0
270,3,SA,8,37.3
271,3,TAS,8,14.5
272,3,NT,8,2.3
273,3,VIC,9,25.8
274,3,NSW,9,13.6
275,3,QLD,9,20.3
276,3,WA,9,6.2
277,3,SA,9,6.1
278,3,TAS,9,0.9
279,3,NT,9,0.4
280,4,VIC,0,15.4
281,4,NSW,0,29.2
282,4,QLD,0,24.8
283,4,WA,0,18.1
284,4,SA,0,7.1
285,4,TAS,0,3.5
286,4,NT,0,1.3
287,4,VIC,1,27.0
288,4,NSW,1,58.6
289,4,QLD,1,118.2
290,4,WA,1,234.0
291,4,SA,1,33.7
292,4,TAS,1,3.4
293,4,NT,1,26.0
294,4,VIC,2,239.6
295,4,NSW,2,309.7
296,4,QLD,2,324.1
297,4,WA,2,234.9
298,4,SA,2,88.2
299,4,TAS,2,45.3
300,4,NT,2,23.2
301,4,VIC,3,508.1
302,4,NSW,3,407.1
303,4,QLD,3,374.9
304,4,WA,3,228.9
305,4,SA,3,62.5
306,4,TAS,3,10.4
307,4,NT,3,22.1
308,4,VIC,4,9.9
309,4,NSW,4,8.6
310,4,QLD,4,6.3
311,4,WA,4,3.8
312,4,SA,4,2.0
313,4,TAS,4,0.3
314,4,NT,4,0.5
315,4,VIC,5,352.8
316,4,NSW,5,513.2
317,4,QLD,5,346.8
318,4,WA,5,217.4
319,4,SA,5,100.0
320,4,TAS,5,25.6
321,4,NT,5,18.2
322,4,VIC,6,2.8
323,4,NSW,6,3.3
324,4,QLD,6,1.1
325,4,WA,6,3.2
326,4,SA,6,2.5
327,4,TAS,6,0.1
328,4,NT,6,0.0
329,4,VIC,7,89.8
330,4,NSW,7,83.4
331,4,QLD,7,58.5
332,4,WA,7,31.0
333,4,SA,7,18.7
334,4,TAS,7,8.4
335,4,NT,7,6.3
336,4,VIC,8,164.3
337,4,NSW,8,135.3
338,4,QLD,8,60.8
339,4,WA,8,41.0
340,4,SA,8,37.3
341,4,TAS,8,14.5
342,4,NT,8,2.1
343,4,VIC,9,19.5
344,4,NSW,9,20.2
345,4,QLD,9,19.3
346,4,WA,9,7.2
347,4,SA,9,4.3
348,4,TAS,9,0.9
349,4,NT,9,0.5
350,5,VIC,0,16.9
351,5,NSW,0,27.8
352,5,QLD,0,25.0
353,5,WA,0,17.9
354,5,SA,0,7.1
355,5,TAS,0,3.8
356,5,NT,0,1.2
357,5,VIC,1,32.9
358,5,NSW,1,59.6
359,5,QLD,1,122.5
360,5,WA,1,249.3
361,5,SA,1,35.8
362,5,TAS,1,3.3
363,5,NT,1,26.1
364,5,VIC,2,231.5
365,5,NSW,2,296.5
366,5,QLD,2,319.3
367,5,WA,2,244.0
368,5,SA,2,79.6
369,5,TAS,2,44.8
370,5,NT,2,17.9
371,5,VIC,3,500.9
372,5,NSW,3,381.3
373,5,QLD,3,368.8
374,5,WA,3,241.4
375,5,SA,3,55.9
376,5,TAS,3,7.1
377,5,NT,3,22.9
378,5,VIC,4,9.5
379,5,NSW,4,8.8
380,5,QLD,4,6.4
381,5,WA,4,3.9
382,5,SA,4,2.0
383,5,TAS,4,0.3
384,5,NT,4,0.6
385,5,VIC,5,363.4
386,5,NSW,5,510.8
387,5,QLD,5,349.6
388,5,WA,5,225.7
389,5,SA,5,99.3
390,5,TAS,5,24.9
391,5,NT,5,18.6
392,5,VIC,6,3.1
393,5,NSW,6,3.8
394,5,QLD,6,1.2
395,5,WA,6,3.8
396,5,SA,6,2.1
397,5,TAS,6,0.3
398,5,NT,6,0.3
399,5,VIC,7,76.2
400,5,NSW,7,87.3
401,5,QLD,7,59.6
402,5,WA,7,31.8
403,5,SA,7,19.1
404,5,TAS,7,8.5
405,5,NT,7,9.0
406,5,VIC,8,148.9
407,5,NSW,8,134.9
408,5,QLD,8,61.0
409,5,WA,8,41.8
410,5,SA,8,31.8
411,5,TAS,8,14.3
412,5,NT,8,2.2
413,5,VIC,9,14.4
414,5,NSW,9,15.8
415,5,QLD,9,25.6
416,5,WA,9,7.1
417,5,SA,9,4.3
418,5,TAS,9,0.8
419,5,NT,9,0.3
420,6,VIC,0,16.8
421,6,NSW,0,30.1
422,6,QLD,0,25.2
423,6,WA,0,19.7
424,6,SA,0,7.2
425,6,TAS,0,4.4
426,6,NT,0,1.2
427,6,VIC,1,30.2
428,6,NSW,1,58.6
429,6,QLD,1,131.6
430,6,WA,1,239.0
431,6,SA,1,33.9
432,6,TAS,1,2.9
433,6,NT,1,25.0
434,6,VIC,2,170.9
435,6,NSW,2,242.2
436,6,QLD,2,352.9
437,6,WA,2,200.1
438,6,SA,2,99.8
439,6,TAS,2,44.7
440,6,NT,2,2.4
441,6,VIC,3,527.3
442,6,NSW,3,375.2
443,6,QLD,3,417.1
444,6,WA,3,259.3
445,6,SA,3,56.8
446,6,TAS,3,3.7
447,6,NT,3,24.2
448,6,VIC,4,10.4
449,6,NSW,4,10.3
450,6,QLD,4,8.4
451,6,WA,4,4.2
452,6,SA,4,1.9
453,6,TAS,4,0.4
454,6,NT,4,1.0
455,6,VIC,5,377.8
456,6,NSW,5,512.8
457,6,QLD,5,353.4
458,6,WA,5,233.5
459,6,SA,5,99.6
460,6,TAS,5,25.1
461,6,NT,5,21.1
462,6,VIC,6,2.4
463,6,NSW,6,3.4
464,6,QLD,6,2.1
465,6,WA,6,3.9
466,6,SA,6,2.2
467,6,TAS,6,0.3
468,6,NT,6,0.0
469,6,VIC,7,78.6
470,6,NSW,7,100.3
471,6,QLD,7,64.4
472,6,WA,7,38.0
473,6,SA,7,22.5
474,6,TAS,7,10.0
475,6,NT,7,5.9
476,6,VIC,8,168.4
477,6,NSW,8,130.2
478,6,QLD,8,59.3
479,6,WA,8,40.5
480,6,SA,8,29.6
481,6,TAS,8,12.7
482,6,NT,8,3.0
483,6,VIC,9,11.6
484,6,NSW,9,15.6
485,6,QLD,9,21.7
486,6,WA,9,7.2
487,6,SA,9,3.4
488,6,TAS,9,0.8
489,6,NT,9,0.3
490,7,VIC,0,17.1
491,7,NSW,0,32.3
492,7,QLD,0,26.6
493,7,WA,0,21.0
494,7,SA,0,7.3
495,7,TAS,0,4.2
496,7,NT,0,1.3
497,7,VIC,1,30.6
498,7,NSW,1,61.7
499,7,QLD,1,173.8
500,7,WA,1,249.8
501,7,SA,1,30.2
502,7,TAS,1,2.6
503,7,NT,1,26.9
504,7,VIC,2,214.0
505,7,NSW,2,248.2
506,7,QLD,2,309.5
507,7,WA,2,234.7
508,7,SA,2,59.9
509,7,TAS,2,42.9
510,7,NT,2,1.2
511,7,VIC,3,509.2
512,7,NSW,3,411.7
513,7,QLD,3,422.1
514,7,WA,3,278.8
515,7,SA,3,56.9
516,7,TAS,3,8.1
517,7,NT,3,23.4
518,7,VIC,4,11.3
519,7,NSW,4,12.2
520,7,QLD,4,8.2
521,7,WA,4,4.4
522,7,SA,4,2.0
523,7,TAS,4,0.4
524,7,NT,4,0.8
525,7,VIC,5,375.6
526,7,NSW,5,512.1
527,7,QLD,5,371.8
528,7,WA,5,248.0
529,7,SA,5,101.4
530,7,TAS,5,25.2
531,7,NT,5,20.8
532,7,VIC,6,2.3
533,7,NSW,6,3.1
534,7,QLD,6,2.6
535,7,WA,6,3.9
536,7,SA,6,2.2
537,7,TAS,6,0.3
538,7,NT,6,0.1
539,7,VIC,7,76.8
540,7,NSW,7,98.3
541,7,QLD,7,62.9
542,7,WA,7,37.7
543,7,SA,7,22.2
544,7,TAS,7,10.1
545,7,NT,7,6.1
546,7,VIC,8,166.9
547,7,NSW,8,129.9
548,7,QLD,8,59.4
549,7,WA,8,41.1
550,7,SA,8,30.8
551,7,TAS,8,13.0
552,7,NT,8,3.1
553,7,VIC,9,13.1
554,7,NSW,9,14.8
555,7,QLD,9,27.7
556,7,WA,9,4.5
557,7,SA,9,3.4
558,7,TAS,9,0.2
559,7,NT,9,0.3
560,8,VIC,0,19.4
561,8,NSW,0,31.3
562,8,QLD,0,29.2
563,8,WA,0,22.8
564,8,SA,0,7.9
565,8,TAS,0,4.0
566,8,NT,0,1.7
567,8,VIC,1,25.2
568,8,NSW,1,63.7
569,8,QLD,1,222.7
570,8,WA,1,298.4
571,8,SA,1,28.8
572,8,TAS,1,2.6
573,8,NT,1,24.9
574,8,VIC,2,198.6
575,8,NSW,2,247.3
576,8,QLD,2,316.3
577,8,WA,2,228.1
578,8,SA,2,44.4
579,8,TAS,2,44.7
580,8,NT,2,1.2
581,8,VIC,3,484.7
582,8,NSW,3,405.6
583,8,QLD,3,428.0
584,8,WA,3,279.5
585,8,SA,3,44.7
586,8,TAS,3,7.8
587,8,NT,3,24.5
588,8,VIC,4,12.0
589,8,NSW,4,13.4
590,8,QLD,4,7.8
591,8,WA,4,3.2
592,8,SA,4,2.1
593,8,TAS,4,0.4
594,8,NT,4,0.9
595,8,VIC,5,382.8
596,8,NSW,5,528.5
597,8,QLD,5,376.3
598,8,WA,5,255.4
599,8,SA,5,102.1
600,8,TAS,5,24.4
601,8,NT,5,20.5
602,8,VIC,6,2.6
603,8,NSW,6,3.1
604,8,QLD,6,2.6
605,8,WA,6,4.2
606,8,SA,6,1.5
607,8,TAS,6,0.3
608,8,NT,6,0.1
609,8,VIC,7,77.2
610,8,NSW,7,97.3
611,8,QLD,7,63.4
612,8,WA,7,38.9
613,8,SA,7,21.8
614,8,TAS,7,9.8
615,8,NT,7,6.1
616,8,VIC,8,170.9
617,8,NSW,8,133.1
618,8,QLD,8,60.6
619,8,WA,8,41.5
620,8,SA,8,31.2
621,8,TAS,8,13.2
622,8,NT,8,3.2
623,8,VIC,9,14.7
624,8,NSW,9,9.7
625,8,QLD,9,25.1
626,8,WA,9,4.8
627,8,SA,9,2.9
628,8,TAS,9,0.3
629,8,NT,9,0.2
630,9,VIC,0,19.5
631,9,NSW,0,31.4
632,9,QLD,0,29.9
633,9,WA,0,23.2
634,9,SA,0,7.8
635,9,TAS,0,4.0
636,9,NT,0,1.7
637,9,VIC,1,25.8
638,9,NSW,1,65.3
639,9,QLD,1,242.3
640,9,WA,1,338.3
641,9,SA,1,26.9
642,9,TAS,1,3.2
643,9,NT,1,28.0
644,9,VIC,2,195.0
645,9,NSW,2,250.6
646,9,QLD,2,291.7
647,9,WA,2,221.6
648,9,SA,2,82.9
649,9,TAS,2,45.8
650,9,NT,2,1.1
651,9,VIC,3,406.9
652,9,NSW,3,410.2
653,9,QLD,3,433.9
654,9,WA,3,276.4
655,9,SA,3,50.7
656,9,TAS,3,8.4
657,9,NT,3,27.7
658,9,VIC,4,12.8
659,9,NSW,4,15.6
660,9,QLD,4,8.0
661,9,WA,4,3.7
662,9,SA,4,2.4
663,9,TAS,4,0.4
664,9,NT,4,0.5
665,9,VIC,5,385.3
666,9,NSW,5,540.7
667,9,QLD,5,398.1
668,9,WA,5,257.5
669,9,SA,5,106.1
670,9,TAS,5,24.7
671,9,NT,5,21.6
672,9,VIC,6,3.0
673,9,NSW,6,3.7
674,9,QLD,6,2.1
675,9,WA,6,4.1
676,9,SA,6,1.8
677,9,TAS,6,0.3
678,9,NT,6,0.1
679,9,VIC,7,79.1
680,9,NSW,7,101.0
681,9,QLD,7,61.4
682,9,WA,7,39.5
683,9,SA,7,22.3
684,9,TAS,7,9.9
685,9,NT,7,6.0
686,9,VIC,8,167.9
687,9,NSW,8,132.8
688,9,QLD,8,60.6
689,9,WA,8,40.5
690,9,SA,8,30.6
691,9,TAS,8,13.4
692,9,NT,8,3.2
693,9,VIC,9,18.9
694,9,NSW,9,13.3
695,9,QLD,9,19.7
696,9,WA,9,5.1
697,9,SA,9,3.1
698,9,TAS,9,0.4
699,9,NT,9,0.2
700,10,VIC,0,12.6
701,10,NSW,0,25.4
702,10,QLD,0,26.2
703,10,WA,0,21.3
704,10,SA,0,7.2
705,10,TAS,0,4.3
706,10,NT,0,1.9
707,10,VIC,1,24.4
708,10,NSW,1,69.9
709,10,QLD,1,255.4
710,10,WA,1,373.6
711,10,SA,1,26.8
712,10,TAS,1,3.3
713,10,NT,1,59.1
714,10,VIC,2,172.2
715,10,NSW,2,247.5
716,10,QLD,2,274.0
717,10,WA,2,243.1
718,10,SA,2,82.6
719,10,TAS,2,43.3
720,10,NT,2,0.5
721,10,VIC,3,385.8
722,10,NSW,3,410.1
723,10,QLD,3,420.9
724,10,WA,3,273.6
725,10,SA,3,48.9
726,10,TAS,3,6.4
727,10,NT,3,33.3
728,10,VIC,4,13.3
729,10,NSW,4,15.9
730,10,QLD,4,7.6
731,10,WA,4,2.9
732,10,SA,4,2.4
733,10,TAS,4,0.5
734,10,NT,4,0.4
735,10,VIC,5,399.1
736,10,NSW,5,535.7
737,10,QLD,5,397.1
738,10,WA,5,258.3
739,10,SA,5,101.3
740,10,TAS,5,26.4
741,10,NT,5,28.7
742,10,VIC,6,3.3
743,10,NSW,6,4.0
744,10,QLD,6,3.2
745,10,WA,6,3.1
746,10,SA,6,2.5
747,10,TAS,6,0.3
748,10,NT,6,0.1
749,10,VIC,7,77.2
750,10,NSW,7,97.8
751,10,QLD,7,59.0
752,10,WA,7,40.3
753,10,SA,7,21.5
754,10,TAS,7,9.6
755,10,NT,7,5.5
756,10,VIC,8,170.8
757,10,NSW,8,134.0
758,10,QLD,8,63.4
759,10,WA,8,40.8
760,10,SA,8,31.0
761,10,TAS,8,13.3
762,10,NT,8,3.4
763,10,VIC,9,20.8
764,10,NSW,9,15.3
765,10,QLD,9,13.6
766,10,WA,9,7.7
767,10,SA,9,2.8
768,10,TAS,9,0.7
769,10,NT,9,0.1
770,11,VIC,0,9.9
771,11,NSW,0,22.3
772,11,QLD,0,24.6
773,11,WA,0,18.4
774,11,SA,0,7.4
775,11,TAS,0,3.5
776,11,NT,0,1.9
777,11,VIC,1,21.7
778,11,NSW,1,71.5
779,11,QLD,1,264.0
780,11,WA,1,386.7
781,11,SA,1,28.0
782,11,TAS,1,3.5
783,11,NT,1,78.2
784,11,VIC,2,166.5
785,11,NSW,2,243.0
786,11,QLD,2,270.0
787,11,WA,2,242.1
788,11,SA,2,78.8
789,11,TAS,2,39.9
790,11,NT,2,0.4
791,11,VIC,3,365.9
792,11,NSW,3,392.1
793,11,QLD,3,409.1
794,11,WA,3,283.5
795,11,SA,3,46.5
796,11,TAS,3,4.3
797,11,NT,3,33.1
798,11,VIC,4,13.4
799,11,NSW,4,14.6
800,11,QLD,4,7.0
801,11,WA,4,2.5
802,11,SA,4,2.2
803,11,TAS,4,0.5
804,11,NT,4,0.2
805,11,VIC,5,355.9
806,11,NSW,5,484.4
807,11,QLD,5,364.3
808,11,WA,5,241.5
809,11,SA,5,96.6
810,11,TAS,5,24.4
811,11,NT,5,23.8
812,11,VIC,6,4.8
813,11,NSW,6,4.5
814,11,QLD,6,3.7
815,11,WA,6,4.0
816,11,SA,6,2.6
817,11,TAS,6,0.4
818,11,NT,6,0.1
819,11,VIC,7,72.1
820,11,NSW,7,95.2
821,11,QLD,7,55.1
822,11,WA,7,39.9
823,11,SA,7,21.4
824,11,TAS,7,9.2
825,11,NT,7,5.0
826,11,VIC,8,181.7
827,11,NSW,8,135.8
828,11,QLD,8,66.1
829,11,WA,8,42.1
830,11,SA,8,31.6
831,11,TAS,8,13.7
832,11,NT,8,3.6
833,11,VIC,9,21.4
834,11,NSW,9,14.6
835,11,QLD,9,14.7
836,11,WA,9,7.4
837,11,SA,9,4.2
838,11,TAS,9,0.8
839,11,NT,9,0.2
840,12,VIC,0,14.3
841,12,NSW,0,33.1
842,12,QLD,0,29.4
843,12,WA,0,24.6
844,12,SA,0,10.2
845,12,TAS,0,4.8
846,12,NT,0,2.3
847,12,VIC,1,20.2
848,12,NSW,1,69.8
849,12,QLD,1,264.0
850,12,WA,1,388.3
851,12,SA,1,28.0
852,12,TAS,1,3.6
853,12,NT,1,76.5
854,12,VIC,2,162.9
855,12,NSW,2,242.1
856,12,QLD,2,270.7
857,12,WA,2,248.4
858,12,SA,2,79.9
859,12,TAS,2,40.5
860,12,NT,2,0.4
861,12,VIC,3,358.9
862,12,NSW,3,371.6
863,12,QLD,3,398.5
864,12,WA,3,259.1
865,12,SA,3,39.9
866,12,TAS,3,4.2
867,12,NT,3,32.6
868,12,VIC,4,12.7
869,12,NSW,4,13.5
870,12,QLD,4,6.9
871,12,WA,4,2.4
872,12,SA,4,2.3
873,12,TAS,4,0.4
874,12,NT,4,0.3
875,12,VIC,5,289.5
876,12,NSW,5,426.1
877,12,QLD,5,336.1
878,12,WA,5,230.4
879,12,SA,5,90.9
880,12,TAS,5,25.6
881,12,NT,5,24.1
882,12,VIC,6,4.8
883,12,NSW,6,3.5
884,12,QLD,6,3.2
885,12,WA,6,4.1
886,12,SA,6,2.9
887,12,TAS,6,0.3
888,12,NT,6,0.1
889,12,VIC,7,68.6
890,12,NSW,7,92.9
891,12,QLD,7,54.2
892,12,WA,7,38.3
893,12,SA,7,20.0
894,12,TAS,7,8.8
895,12,NT,7,5.0
896,12,VIC,8,182.3
897,12,NSW,8,137.8
898,12,QLD,8,69.3
899,12,WA,8,43.7
900,12,SA,8,32.6
901,12,TAS,8,14.0
902,12,NT,8,3.8
903,12,VIC,9,21.8
904,12,NSW,9,12.0
905,12,QLD,9,12.9
906,12,WA,9,7.1
907,12,SA,9,4.5
908,12,TAS,9,0.7
909,12,NT,9,0.2
